id,VV_mean,population_sum,pixel_count,priority,color,geometry
+52399-23945,1,5229.455801930148,0.9282766025433346,5633.510300272835,yellow,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[47.07082257257881, -21.510159478241942], [47.07172088786293, -21.510159478241942], [47.07172088786293, -21.509261162957824], [47.07082257257881, -21.509261162957824], [47.07082257257881, -21.510159478241942]]]}"
+52401-23943,1,5189.483913526348,0.9282880737583129,5590.380896003487,yellow,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[47.07261920314705, -21.508362847673705], [47.07351751843117, -21.508362847673705], [47.07351751843117, -21.507464532389584], [47.07261920314705, -21.507464532389584], [47.07261920314705, -21.508362847673705]]]}"
+52403-23945,1,5184.699128753064,0.9282766025401575,5585.295497662586,yellow,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[47.074415833715285, -21.510159478241942], [47.075314148999404, -21.510159478241942], [47.075314148999404, -21.509261162957824], [47.074415833715285, -21.509261162957824], [47.074415833715285, -21.510159478241942]]]}"
+52394-23939,1,5165.000838694853,0.9283110134616751,5563.868966107109,orange,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[47.066330996158214, -21.504769586537225], [47.06722931144233, -21.504769586537225], [47.06722931144233, -21.503871271253107], [47.066330996158214, -21.503871271253107], [47.066330996158214, -21.504769586537225]]]}"
+52407-23944,1,10260.293861060047,1.8565589407984662,5526.511243778404,orange,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[47.078009094851765, -21.508362847673705], [47.078009094851765, -21.509261162957824], [47.07711077956765, -21.509261162957824], [47.07711077956765, -21.510159478241942], [47.078009094851765, -21.510159478241942], [47.078009094851765, -21.509261162957824], [47.07890741013588, -21.509261162957824], [47.07890741013588, -21.508362847673705], [47.078009094851765, -21.508362847673705]]]}"
+52409-23941,1,4838.195260799632,0.9282995440807039,5211.890161586692,orange,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[47.07980572542, -21.506566217105465], [47.08070404070413, -21.506566217105465], [47.08070404070413, -21.505667901821347], [47.07980572542, -21.505667901821347], [47.07980572542, -21.506566217105465]]]}"
+52383-23946,1,4463.667095588235,0.9282708665906113,4808.5825552002525,orange,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[47.0564495280329, -21.511057793526064], [47.05734784331702, -21.511057793526064], [47.05734784331702, -21.510159478241942], [47.0564495280329, -21.510159478241942], [47.0564495280329, -21.511057793526064]]]}"
+52391-23934,1,4462.215475643382,0.9283396829566176,4806.662429243484,red,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[47.06363605030585, -21.500278010116627], [47.06453436558997, -21.500278010116627], [47.06453436558997, -21.49937969483251], [47.06363605030585, -21.49937969483251], [47.06363605030585, -21.500278010116627]]]}"
+52420-23948,1,17075.117515893075,3.7130261028714915,4598.706565162019,red,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[47.0887888782612, -21.513752739378422], [47.09058550882944, -21.513752739378422], [47.09058550882944, -21.511956108810182], [47.0887888782612, -21.511956108810182], [47.0887888782612, -21.513752739378422]]]}"
+52387-23936,1,4265.245362285538,0.9283282158278414,4594.544569004599,red,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[47.06004278916937, -21.502074640684867], [47.06094110445349, -21.502074640684867], [47.06094110445349, -21.50117632540075], [47.06004278916937, -21.50117632540075], [47.06004278916937, -21.502074640684867]]]}"
